Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales
3664,Mega Man Zero,GBA,2002,Capcom,0.22,0.08
3665,Contender 2,PS,2000,3DO,0.31,0.21
3666,The Amazing Spider-Man 2 (2014),PS4,2014,Activision,0.2,0.25
3667,Star Wars: Dark Forces,PS,1996,LucasArts,0.31,0.21
3668,SD Gundam G Generation Zero,PS,1999,Namco Bandai Games,0,0
3669,Super Robot Taisen F,SAT,1997,Banpresto,0,0
3670,Shrek 2,XB,2004,Activision,0.4,0.13
3671,Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!,PS2,2002,Sega,0,0
3672,Time Crisis: Razing Storm,PS3,2010,Namco Bandai Games,0.18,0.21
3673,SpongeBob SquarePants: SuperSponge,GBA,2001,THQ,0.39,0.15
3674,Super Robot Taisen F Kanketsuhen,SAT,1998,Banpresto,0,0
3675,Enslaved: Odyssey to the West,X360,2010,Namco Bandai Games,0.3,0.19
3676,Rune Factory 4,3DS,2012,Xseed Games,0.31,0
3677,Summer Sports: Paradise Island,Wii,2008,Ubisoft,0.49,0.02
3678,Tak and the Power of Juju,GBA,2003,THQ,0.39,0.15
3679,Dynasty Warriors: Gundam 3,PS3,2010,Tecmo Koei,0.11,0.05
3680,Mortal Kombat 3,PS,1995,Sony Computer Entertainment,0.29,0.2
3681,Turok: Evolution,XB,2002,Acclaim Entertainment,0.39,0.14
3682,Jak X: Combat Racing,PS2,2005,Sony Computer Entertainment,0.45,0.02
3683,Metro 2033,X360,2010,THQ,0.22,0.24
3684,Are You Smarter than a 5th Grader? Make the Grade,Wii,2008,THQ,0.51,0
3685,American Idol,PS2,2003,Codemasters,0.27,0.21
3686,Top Gun: Fire at Will!,PS,1996,Microprose,0.3,0.21
3687,Red Dead Revolver,XB,2004,Take-Two Interactive,0.4,0.12
3688,Dragon Ball Z: Shin Budokai,PSP,2006,Atari,0.26,0.08
3689,LEGO The Hobbit,PS3,2014,Warner Bros. Interactive Entertainment,0.12,0.32
3690,Iron Man,PS2,2008,Sega,0.36,0
3691,SingStar Summer Party,PS2,2008,Sony Computer Entertainment,0,0.06
3692,Tiger Woods PGA Tour 08,X360,2007,Electronic Arts,0.49,0.02
3693,NBA Live 10,PS3,2009,Electronic Arts,0.46,0.03
3694,The SpongeBob SquarePants Movie,XB,2004,THQ,0.4,0.12
3695,FIFA Soccer 07,XB,2006,Electronic Arts,0.16,0.35
3696,Gekikuukan Pro Yakyuu: At the End of the Century 1999,PS2,2000,SquareSoft,0,0
3697,Medarot 2: Kabuto / Kuwagata Version,GB,1999,Imagineer,0,0
3698,Excite Truck,Wii,2006,Nintendo,0.4,0.03
3699,Sacred 2: Fallen Angel,X360,2009,Deep Silver,0.29,0.17
3700,System 3 presents Ferrari Challenge Trofeo Pirelli,Wii,2008,System 3 Arcade Software,0.07,0.4
3701,Dance Dance Revolution Ultramix,XB,2003,Konami Digital Entertainment,0.42,0.11
3702,ModNation Racers,PSP,2010,Sony Computer Entertainment,0.11,0.27
3703,Crash Tag Team Racing,PS2,2005,Vivendi Games,0.27,0.21
3704,Two Worlds II,X360,2011,Unknown,0.4,0.08
3705,Sonic & All-Stars Racing Transformed,PS3,2012,Sega,0.08,0.33
3706,Michael Jackson: The Experience,PS3,2011,Ubisoft,0.25,0.2
3707,Front Mission 4,PS2,2003,Square Enix,0.14,0.11
3708,The Fairly Odd Parents: Breakin' Da Rules,GBA,2003,THQ,0.39,0.14
3709,LEGO Dimensions,PS3,2015,Warner Bros. Interactive Entertainment,0.15,0.3
3710,Inazuma Eleven,DS,2008,Nintendo,0,0.14
3711,Ninokuni: Shikkoku no Madoushi,DS,2010,Level 5,0,0
3712,Minecraft: Story Mode,XOne,2015,Mojang,0.29,0.21
3713,Resident Evil: Revelations 2,PS4,2015,Capcom,0.13,0.24
3714,Manhunt 2,Wii,2007,Take-Two Interactive,0.25,0.23
3715,SRS: Street Racing Syndicate,PS2,2004,Namco Bandai Games,0.26,0.21
3716,Despicable Me: The Game - Minion Mayhem,DS,2010,D3Publisher,0.42,0.09
3717,Def Jam: Fight for NY,XB,N/A,Electronic Arts,0.43,0.1
3718,Action Force,2600,1982,CPG Products,0.5,0.03
3719,Gauntlet Legends,N64,1999,Midway Games,0.43,0.1
3720,FIFA 99,N64,1998,Electronic Arts,0.11,0.39
3721,Kidou Senshi Gundam: Extreme VS,PS3,2011,Namco Bandai Games,0,0
3722,Dragon Ball Z: Ultimate Tenkaichi,X360,2011,Namco Bandai Games,0.39,0.1
3723,Tales of Symphonia,PS3,2013,Namco Bandai Games,0.21,0.13
3724,Bust A Groove,PS,1998,Sony Computer Entertainment,0.09,0.06
3725,Fire Emblem: Path of Radiance,GC,2005,Nintendo,0.29,0.08
3726,Dragon Quest Characters: Torneko no Daibouken 3: Fushigi no Dungeon,PS2,2002,Enix Corporation,0,0
3727,Let's Draw!,DS,2008,Ubisoft,0.24,0.23
3728,Pachi-Slot Aruze Oukoku 2,PS,1999,Aruze Corp,0,0
3729,NHL 14,X360,2013,Electronic Arts,0.4,0.1
3730,Valkyria Chronicles II,PSP,2010,Sega,0.12,0.16
3731,Middle-Earth: Shadow of Mordor,X360,2014,Warner Bros. Interactive Entertainment,0.28,0.21
3732,Madden NFL 13,Wii,2012,Electronic Arts,0.51,0
3733,Rune Factory 2: A Fantasy Harvest Moon,DS,2008,Rising Star Games,0.33,0.03
3734,Terminator Salvation,PS3,2009,Warner Bros. Interactive Entertainment,0.13,0.29
3735,Cars 2,PS3,2011,Disney Interactive Studios,0.22,0.23
3736,Bratz: Rock Angelz,GBA,2004,THQ,0.39,0.14
3737,How to Train Your Dragon,DS,2010,Activision,0.32,0.17
3738,SSX Tricky,GC,2001,Electronic Arts,0.42,0.11
3739,WWE SmackDown vs. Raw 2010,DS,2009,THQ,0.35,0.14
3740,Greg Hastings' Tournament Paintball,XB,2004,Activision,0.46,0.06
3741,Hello Kitty: Big City Dreams,DS,2008,Empire Interactive,0.42,0.08
3742,Star Fox Command,DS,2006,Nintendo,0.39,0.01
3743,World Soccer Winning Eleven 7 International (JP version),PS2,2004,Konami Digital Entertainment,0,0
3744,ESPN NBA Basketball,PS2,2003,Sega,0.26,0.21
3745,Inazuma Eleven GO,3DS,2011,Nintendo,0,0.05
3746,Over the Hedge,PS2,2006,Activision,0.45,0.02
3747,Mat Hoffman's Pro BMX,PS,2001,Activision,0.3,0.2
3748,Lego Star Wars: The Force Awakens,PS4,2016,Warner Bros. Interactive Entertainment,0.14,0.32
3749,Epic Mickey 2: The Power of Two,X360,2012,Disney Interactive Studios,0.32,0.17
3750,Popeye,2600,1982,Parker Bros.,0.5,0.03
3751,Magician's Quest: Mysterious Times,DS,2008,Konami Digital Entertainment,0.04,0.01
3752,The Hobbit,PS2,2003,Vivendi Games,0.26,0.2
3753,War of the Monsters,PS2,2003,Sony Computer Entertainment,0.26,0.2
3754,Tales of Symphonia: Dawn of the New World,Wii,2008,Namco Bandai Games,0.22,0.05
3755,NBA Street Vol. 2,GC,N/A,Electronic Arts,0.41,0.11
3756,The Incredible Hulk: Ultimate Destruction,PS2,2005,Vivendi Games,0.26,0.2
3757,Star Wars Battlefront (2015),PC,2015,Electronic Arts,0.13,0.37
3758,"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare",SAT,1998,Sega,0,0
3759,Jewel Master Egypt,DS,2009,Rondomedia,0.21,0.27
3760,Time Crisis II,PS2,2001,Namco Bandai Games,0.26,0.2
3761,Clock Tower,PS,1996,ASCII Entertainment,0.07,0.05
3762,NCAA March Madness 06,PS2,2005,Electronic Arts,0.45,0.02
3763,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,Wii,2008,THQ,0.49,0
3764,Jampack Volume 11,PS2,2004,Sony Computer Entertainment,0.26,0.2
3765,Dragon's Crown,PS3,2013,Nippon Ichi Software,0.25,0.07
3766,Tactics Ogre: Let Us Cling Together,PSP,2010,Square Enix,0.15,0.07
3767,Legacy of Kain: Defiance,PS2,2003,Eidos Interactive,0.26,0.2
3768,SpongeBob SquarePants: Game Boy Advance Video Volume 2,GBA,2004,N/A,0.38,0.14
3769,NCAA March Madness 2005,PS2,2004,Electronic Arts,0.44,0.02
3770,007 Racing,PS,2000,Electronic Arts,0.3,0.2
3771,Conflict: Vietnam,PS2,2004,SCi,0.26,0.2
3772,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,2004,Sega,0.4,0.11
3773,Mystery Dungeon: Shiren the Wanderer,DS,2006,Sega,0.18,0
3774,SimAnimals,DS,2009,Electronic Arts,0.26,0.21
3775,MLB SlugFest 20-04,PS2,2003,Midway Games,0.26,0.2
3776,Gex 3: Deep Cover Gecko,PS,1999,Eidos Interactive,0.3,0.2
3777,NASCAR 09,PS2,2008,Electronic Arts,0.26,0.2
3778,Blitz: The League,XB,2004,Midway Games,0.4,0.11
3779,Jampack Vol. 2,PS,1996,Sony Computer Entertainment,0.3,0.2
3780,LEGO Jurassic World,WiiU,2015,Warner Bros. Interactive Entertainment,0.28,0.19
3781,Sesame Street: Once Upon A Monster,X360,2011,Warner Bros. Interactive Entertainment,0.39,0.1
3782,Virtual Soccer,SNES,1993,Hudson Soft,0,0
3783,Romance of the Three Kingdoms IV: Wall of Fire,SNES,1994,Tecmo Koei,0,0
3784,Winning Post,SNES,1993,Tecmo Koei,0,0
3785,Peter Jackson's King Kong: The Official Game of the Movie,XB,2005,Ubisoft,0.34,0.17
3786,SingStar Dance,PS3,2010,Sony Computer Entertainment,0.09,0.32
3787,Kirby and the Rainbow Curse,WiiU,2015,Nintendo,0.23,0.14
3788,Burnout Revenge,XB,2005,Electronic Arts,0.32,0.19
3789,FIFA 12,PSP,2011,Electronic Arts,0.12,0.26
3790,Medal of Honor: European Assault,XB,2005,Electronic Arts,0.32,0.19
3791,Batman: Arkham City,PC,2011,Warner Bros. Interactive Entertainment,0.16,0.28
3792,Ty the Tasmanian Tiger 2: Bush Rescue,PS2,2004,Electronic Arts,0.26,0.2
3793,The Lord of the Rings: The Fellowship of the Ring,XB,2002,Universal Interactive,0.31,0.19
3794,NBA 06,PS2,2005,Sony Computer Entertainment,0.26,0.2
3795,Sonic & All-Stars Racing Transformed,WiiU,2012,Sega,0.2,0.27
3796,Spider-Man,N64,2000,Activision,0.43,0.09
3797,We Cheer,Wii,2008,505 Games,0.48,0
3798,Tom Clancy's Ghost Recon Advanced Warfighter 2,PSP,2007,Ubisoft,0.35,0.1
3799,X-Men Legends,GC,2004,Activision,0.41,0.11
3800,Alice in Wonderland,Wii,2010,Disney Interactive Studios,0.27,0.21
3801,Littlest Pet Shop 3: Biggest Stars - Blue / Pink / Purple Team,DS,2010,Electronic Arts,0.5,0
3802,Front Mission 2,PS,1997,SquareSoft,0,0
3803,Bulletstorm,PS3,2011,Electronic Arts,0.23,0.2
3804,F.E.A.R. 2: Project Origin,X360,2009,Warner Bros. Interactive Entertainment,0.32,0.15
3805,Tiger Woods PGA Tour 11,X360,2010,Electronic Arts,0.28,0.2
3806,Stuntman: Ignition,PS3,2007,THQ,0.17,0.26
3807,Are You Smarter Than A 5th Grader?,DS,2007,Mindscape,0.48,0
3808,F1 2009,PSP,2009,Codemasters,0.08,0.29
3809,Oni,PS2,2001,Take-Two Interactive,0.26,0.2
3810,The Lord of the Rings: The Two Towers,GC,2002,Electronic Arts,0.41,0.11
3811,Juiced,PS2,2005,THQ,0.26,0.2
3812,The Warriors,PS2,2005,Take-Two Interactive,0.44,0.02
3813,Batman: Arkham Origins Blackgate,PSV,2013,Warner Bros. Interactive Entertainment,0.2,0.2
3814,J-League Soccer: Prime Goal 2,SNES,1994,Namco Bandai Games,0,0
3815,Go Diego Go! Safari Rescue,Wii,2008,Take-Two Interactive,0.48,0.01
3816,The Walking Dead: Survival Instinct,PS3,2013,Activision,0.28,0.17
3817,Picross 3D,DS,2009,Nintendo,0.3,0.03
3818,Just Dance 2015,XOne,2014,Ubisoft,0.35,0.13
3819,Silent Hill: Origins,PSP,2007,Konami Digital Entertainment,0.22,0.16
3820,NASCAR 2000,N64,1999,Electronic Arts,0.49,0.03
3821,Wayne Gretzky's 3D Hockey,N64,1996,Nintendo,0.49,0.03
3822,Pachi-Slot Aruze Oukoku 4,PS,2000,Aruze Corp,0,0
3823,Return to Castle Wolfenstein: Operation Resurrection,PS2,2003,Activision,0.26,0.2
3824,Mario Tennis: Power Tour,GBA,2005,Nintendo,0.24,0.09
3825,Seaman,DC,1999,Sega,0,0
3826,Guinness World Records: The Videogame,DS,2008,Warner Bros. Interactive Entertainment,0.47,0.01
3827,The Grinch,PS,1999,Konami Digital Entertainment,0.29,0.2
3828,GT Pro Series,Wii,2006,Ubisoft,0.46,0.01
3829,Tales of Destiny,PS2,2006,Namco Bandai Games,0,0
3830,Spectrobes: Beyond the Portals,DS,2008,Disney Interactive Studios,0.37,0.11
3831,Classic Word Games,DS,2009,Ubisoft,0.09,0.37
3832,Naruto Shippuden: Clash of Ninja Revolution 3,Wii,2009,Nintendo,0.45,0.04
3833,Fight Night Round 3,PSP,2006,Electronic Arts,0.46,0.02
3834,The Golden Compass,PS2,2007,Sega,0.13,0
3835,Final Fantasy Chronicles,PS,2001,Square,0.29,0.2
3836,NBA Live 08,X360,2007,Electronic Arts,0.47,0
3837,Syphon Filter 3,PS,2001,Sony Computer Entertainment,0.29,0.2
3838,Star Wars Battlefront: Elite Squadron,DS,2009,LucasArts,0.44,0.04
3839,Metal Gear Solid 2: Substance,PS2,2002,Konami Digital Entertainment,0.18,0.14
3840,We Love Katamari,PS2,2005,Electronic Arts,0.26,0.2
3841,NCAA Football 2003,XB,2002,Electronic Arts,0.39,0.11
3842,Way of the Samurai 3,PS3,2008,Gamebridge,0.18,0.08
3843,NBA Live 09,PS3,2008,Electronic Arts,0.46,0
3844,DC Universe Online,PS3,2011,Sony Online Entertainment,0.35,0.12
3845,Ready 2 Rumble Boxing: Round 2,PS,2000,Midway Games,0.29,0.2
3846,Mega Man 6,NES,1993,Capcom,0.28,0.07
3847,Mission: Impossible,PS,1999,Infogrames,0.29,0.2
3848,Final Fantasy Explorers,3DS,2014,Square Enix,0.15,0.07
3849,Rival Schools: United By Fate,PS,1998,Capcom,0.12,0.08
3850,Bully: Scholarship Edition,Wii,2008,Take-Two Interactive,0.17,0.29
3851,IL-2 Sturmovik: Birds of Prey,X360,2009,505 Games,0.23,0.24
3852,PlayStation All-Stars Battle Royale,PSV,2012,Sony Computer Entertainment,0.26,0.15
3853,Ratatouille,PS3,2007,THQ,0.09,0.32
3854,Cars Toon: Mater's Tall Tales,Wii,2010,Disney Interactive Studios,0.46,0.02
3855,Kung Fu Panda,PS3,2008,Activision,0.21,0.21
3856,Swing Away Golf,PS2,2000,Electronic Arts,0.17,0.13
3857,J-League Pro Soccer Club o Tsukurou! 3,PS2,2003,Sega,0,0
3858,Tomb Raider: Legend,PS2,2006,Eidos Interactive,0.25,0.19
3859,Ratatouille,Wii,2007,THQ,0.44,0.04
3860,Freedom Fighters,PS2,2003,Electronic Arts,0.25,0.2
3861,Gun,XB,2005,Activision,0.38,0.12
3862,That's So Raven 2: Supernatural Style,GBA,2005,Disney Interactive Studios,0.37,0.14
3863,Lair,PS3,2007,Sony Computer Entertainment,0.36,0.04
3864,Madden NFL 07,PS3,2006,Electronic Arts,0.47,0
3865,The Punisher,PS2,2005,THQ,0.25,0.2
3866,Front Mission 3,PS,1999,SquareSoft,0.1,0.07
3867,Kenkou Ouen Recipe 1000: DS Kondate Zenshuu,DS,2006,Nintendo,0,0
3868,SSX On Tour,PS2,2005,Electronic Arts,0.25,0.2
3869,Tony Hawk's Pro Skater 3,GBA,2002,Activision,0.37,0.14
3870,Harry Potter and the Prisoner of Azkaban,GBA,2004,Electronic Arts,0.37,0.14
3871,Petz: Hamsterz Life 2,DS,2007,Ubisoft,0.48,0
3872,Omega Boost,PS,1999,Sony Computer Entertainment,0.17,0.11
3873,The Sims 2: Open for Business,PC,2006,Electronic Arts,0.46,0.05
3874,Iron Man,DS,2008,Sega,0.35,0.12
3875,NFL 2K3,XB,2002,Sega,0.38,0.11
3876,NBA Live 2002,PS,2001,Electronic Arts,0.29,0.19
3877,Jampack Winter 2002,PS2,2002,Sony Computer Entertainment,0.25,0.2
3878,My Word Coach,Wii,2007,Ubisoft,0.46,0.02
3879,Way of the Samurai,PS2,2002,Eidos Interactive,0.13,0.1
3880,Dragon Age: Origins,PC,2009,Electronic Arts,0,0.46
3881,Naruto Shippuden: Ultimate Ninja Storm 3,X360,2013,Namco Bandai Games,0.29,0.17
3882,Fishing Derby,2600,N/A,Activision,0.48,0.03
3883,Pac-Man Fever,PS2,2001,Sony Computer Entertainment,0.25,0.2
3884,The LEGO Movie Videogame,XOne,2014,Warner Bros. Interactive Entertainment,0.34,0.13
3885,The 3rd Birthday,PSP,2010,Square Enix,0.13,0.07
3886,Prince of Persia Trilogy,PS3,2010,Ubisoft,0.17,0.25
3887,International Track & Field,PS,1996,Konami Digital Entertainment,0.08,0.05
3888,100 All-Time Favorites,DS,2009,Ubisoft,0.35,0.12
3889,HSX HyperSonic.Xtreme,PS2,2002,Midas Interactive Entertainment,0.25,0.2
3890,StarCraft II: Legacy of the Void,PC,2015,Activision,0.18,0.29
3891,Tiger Woods PGA Tour 13,X360,2012,Electronic Arts,0.29,0.18
3892,SoulCalibur: Broken Destiny,PSP,2009,Namco Bandai Games,0.12,0.2
3893,The Saboteur,X360,2009,Electronic Arts,0.26,0.21
3894,Lords of the Fallen,PS4,2014,Square Enix,0.17,0.23
3895,Pro Evolution Soccer 2010,Wii,2009,Konami Digital Entertainment,0.12,0.27
3896,Goldeneye 007: Reloaded,X360,2011,Activision,0.25,0.21
3897,Jam With the Band,DS,2008,Nintendo,0,0
3898,Madden NFL 2004,GC,2003,Electronic Arts,0.4,0.1
3899,Jikkyou Powerful Pro Yakyuu 10,PS2,2003,Konami Digital Entertainment,0,0
3900,Summoner,PS2,2000,THQ,0.25,0.2
3901,Virtual Pool,PS,1997,Interplay,0.28,0.19
3902,NBA Live 07,PSP,2006,Electronic Arts,0.47,0
3903,Sega Bass Fishing,Wii,2008,Sega,0.46,0.01
3904,Fire Emblem: Radiant Dawn,Wii,2007,Nintendo,0.28,0.03
3905,Dynasty Warriors,PSP,2004,Tecmo Koei,0.18,0.01
3906,"SpongeBob SquarePants: Lights, Camera, Pants!",GBA,2005,THQ,0.37,0.14
3907,Dragon Ball: Raging Blast,X360,2009,Namco Bandai Games,0.36,0.09
3908,Rugrats: Scavenger Hunt,N64,1999,THQ,0.41,0.09
3909,Wrecking Crew,NES,1985,Nintendo,0,0
3910,International Superstar Soccer 2000 (All region sales),N64,1999,Konami Digital Entertainment,0.01,0.26
3911,Major League Baseball 2K10,X360,2010,Take-Two Interactive,0.47,0
3912,Monsters vs. Aliens,DS,2009,Activision,0.33,0.13
3913,"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",PS3,2010,Activision,0.24,0.19
3914,SpongeBob SquarePants: Creature from the Krusty Krab,Wii,2006,THQ,0.45,0.02
3915,Lost: Via Domus,PS3,2008,Ubisoft,0.19,0.23
3916,NBA Live 2004,XB,2003,Electronic Arts,0.44,0.04
3917,Dai-4-Ji Super Robot Taisen S,PS,1996,Banpresto,0,0
3918,Disney's Kim Possible: Revenge of Monkey Fist,GBA,2002,THQ,0.37,0.14
3919,WWE SmackDown vs. RAW 2007,X360,2006,THQ,0.44,0.03
3920,Ace Combat Zero: The Belkan War,PS2,2006,Namco Bandai Games,0.15,0.12
3921,R.U.S.E.,PS3,2010,Ubisoft,0.18,0.22
3922,Disgaea 3: Absence of Justice,PS3,2008,Square Enix,0.32,0.04
3923,Test Drive Unlimited,PSP,2007,Atari,0.08,0.28
3924,LEGO Dimensions,WiiU,2015,Warner Bros. Interactive Entertainment,0.3,0.16
3925,Picross DS,DS,2007,Nintendo,0.17,0.02
3926,Final Fantasy II Anniversary Edition,PSP,2007,Square Enix,0.36,0.03
3927,NHL 07,PS2,2006,Electronic Arts,0.42,0.02
3928,Harry Potter and the Half-Blood Prince,PSP,2009,Electronic Arts,0.18,0.21
3929,Quantum Break,XOne,2016,Microsoft Game Studios,0.27,0.19
3930,NBA 2K11,Wii,2010,Take-Two Interactive,0.47,0.01
3931,World Championship Poker,XB,2004,Crave Entertainment,0.37,0.11
3932,The BIGS,PS2,2007,Take-Two Interactive,0.25,0.19
3933,Final Fantasy,WS,2000,SquareSoft,0,0
3934,Burnout Revenge,X360,2006,Electronic Arts,0.42,0.05
3935,Rory McIlroy PGA Tour,PS4,2015,Electronic Arts,0.18,0.24
3936,Euro Truck Simulator,PC,2008,Rondomedia,0,0.42
3937,Dragon Ball Z: Supersonic Warriors,GBA,2004,Atari,0.36,0.13
3938,Dishonored,PC,2012,Bethesda Softworks,0.26,0.19
3939,Paws & Claws: Dogs & Cats Best Friends,DS,2007,THQ,0.46,0.01
3940,NBA Ballers,XB,2004,Midway Games,0.37,0.11
3941,Silent Hill 4: The Room,PS2,2004,Konami Digital Entertainment,0.25,0.19
3942,River Raid II,2600,1988,Activision,0.47,0.03
3943,Capcom Classics Collection,PS2,2005,Capcom,0.22,0.17
3944,Guitar Hero Live,XOne,2015,Activision,0.29,0.17
3945,Wolfenstein: The New Order,PS3,2014,Bethesda Softworks,0.14,0.25
3946,Monopoly Party,PS2,2002,Infogrames,0.25,0.19
3947,Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,DS,2009,GSP,0.12,0.33
3948,NHL FaceOff 98,PS,1997,Sony Computer Entertainment,0.28,0.19
3949,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GBA,2004,THQ,0.36,0.13
3950,F1 2012,X360,2012,Codemasters,0.1,0.35
3951,NHL 09,X360,2008,Electronic Arts,0.45,0.01
3952,Sonic Riders,PS2,2006,Sega,0.42,0.02
3953,Looney Tunes: Back in Action,PS2,2003,Warner Bros. Interactive Entertainment,0.25,0.19
3954,Wet,X360,N/A,Bethesda Softworks,0.23,0.21
3955,Midnight Magic,2600,1983,Atari,0.47,0.03
3956,Alice: Madness Returns,X360,2011,Electronic Arts,0.27,0.15
3957,Pro Evolution Soccer 2012,X360,2011,Konami Digital Entertainment,0.1,0.34
3958,Tiger Woods PGA Tour 07,PS3,2006,Electronic Arts,0.31,0.12
3959,Midnight Club II,XB,2003,Take-Two Interactive,0.42,0.06
3960,Atelier Rorona: Alchemist of Arland,PS3,2009,Nippon Ichi Software,0.22,0.12
3961,Monster Hunter Freedom 2,PS3,2011,Capcom,0,0
3962,Dragon Ball Z: Supersonic Warriors 2,DS,2005,Atari,0.14,0.02
3963,Avatar: The Last Airbender,GC,2006,THQ,0.39,0.1
3964,Blue's Clues: Blue's Big Musical,PS,2001,THQ,0.28,0.19
3965,The Mummy Returns,PS2,2001,Universal Interactive,0.25,0.19
3966,Hitman: Blood Money,PS2,2006,Eidos Interactive,0.25,0.19
3967,Disney Sing It,PS2,2008,Disney Interactive Studios,0.25,0.19
3968,Chopper Command,2600,1982,Activision,0.47,0.03
3969,Activision Anthology,PS2,2002,Activision,0.25,0.19
3970,Crash: Mind Over Mutant,PS2,2008,Vivendi Games,0.25,0.19
3971,WWE 2K16,X360,2015,Take-Two Interactive,0.27,0.19
3972,LEGO The Hobbit,X360,2014,Warner Bros. Interactive Entertainment,0.2,0.26
3973,Babysitting Mama,Wii,2010,505 Games,0.34,0.12
3974,Boogie,Wii,2007,Electronic Arts,0.43,0.03
3975,Theatrhythm: Final Fantasy,3DS,2012,Square Enix,0.22,0.07
3976,Bleach: Soul Resurreccion,PS3,2011,Nippon Ichi Software,0.27,0.11
3977,Madden NFL 07,Wii,2006,Electronic Arts,0.46,0
3978,Rugrats in Paris: The Movie,N64,2000,THQ,0.4,0.09
3979,Dance Dance Revolution Universe 2,X360,2007,Konami Digital Entertainment,0.46,0.01
3980,Star Wars: Jedi Starfighter,PS2,2002,Activision,0.24,0.19
3981,Tactics Ogre: The Knight of Lodis,GBA,2001,Nintendo,0.13,0.05
3982,Fortune Street,Wii,2011,Nintendo,0.27,0.04
3983,Super Robot Taisen MX,PS2,2004,Banpresto,0,0
3984,Alice in Wonderland,DS,2010,Disney Interactive Studios,0.27,0.18
3985,NBA Street Homecourt,X360,2007,Electronic Arts,0.45,0.01
3986,Spider-Man 2,DS,2004,Activision,0.41,0.02
3987,Bases Loaded '96: Double Header,PS,1995,Jaleco,0.28,0.19
3988,Dead or Alive Ultimate,XB,2004,Tecmo Koei,0.3,0.1
3989,RPG Maker,PS,1997,ASCII Entertainment,0.11,0.07
3990,FIFA 14,PSV,2013,Electronic Arts,0.11,0.25
3991,Star Wars: Clone Wars,PS2,2002,LucasArts,0.24,0.19
3992,The Saboteur,PS3,2009,Electronic Arts,0.2,0.22
3993,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,PS2,2004,THQ,0.24,0.19
3994,Metal Gear Rising: Revengeance,X360,2013,Konami Digital Entertainment,0.29,0.16
3995,Madden NFL 11,PS2,2010,Electronic Arts,0.41,0.02
3996,Major League Baseball 2K12,X360,2012,Take-Two Interactive,0.47,0
3997,Alien: Isolation,XOne,2014,Sega,0.22,0.24
3998,The Price is Right,DS,2008,Ubisoft,0.46,0
3999,Monster Hunter,PS2,2004,Capcom,0.11,0.08
4000,Cars 2,X360,2011,Disney Interactive Studios,0.28,0.17
4001,Dreamworks Madagascar Kartz,Wii,2009,Activision,0.29,0.16
4002,Tony Hawk's Underground 2,GC,2004,Activision,0.38,0.1
4003,SplashDown: Rides Gone Wild,PS2,2003,THQ,0.24,0.19
4004,Super Famista 5,SNES,1996,Namco Bandai Games,0,0
4005,Dynasty Warriors: Gundam 2,PS3,2008,Namco Bandai Games,0.09,0.07
4006,Shrek SuperSlam,PS2,2005,Activision,0.24,0.19
4007,Rayman Advance,GBA,2001,Ubisoft,0.36,0.13
4008,Super Robot Taisen Z,PS2,2008,Namco Bandai Games,0,0
4009,PoPoLoCrois Monogatari,PS,1996,Sony Computer Entertainment,0,0
4010,Tomb Raider: Anniversary,PS2,2007,Eidos Interactive,0.41,0.02
4011,Fantastic 4,PS2,2005,Activision,0.41,0.01
4012,Epic Mickey 2: The Power of Two,PS3,2012,Disney Interactive Studios,0.21,0.2
4013,Men in Black II: Alien Escape,PS2,2002,Infogrames,0.24,0.19
4014,The Evil Within,X360,2014,Bethesda Softworks,0.25,0.2
4015,RealSports Tennis,2600,1982,Atari,0.46,0.03
4016,Nicktoons: Attack of the Toybots,PS2,2007,THQ,0.24,0.19
4017,Raiders of the Lost Ark,2600,1981,Atari,0.46,0.03
4018,Gauntlet,2600,1982,Answer Software,0.46,0.03
4019,Ridge Racer 3D,3DS,2011,Namco Bandai Games,0.19,0.15
4020,Cars Mater-National Championship,Wii,2007,THQ,0.46,0
4021,Ace Combat: Assault Horizon,X360,2011,Namco Bandai Games,0.3,0.12
4022,Resident Evil: The Mercenaries 3D,3DS,2011,Capcom,0.16,0.17
4023,Super Monkey Ball 3D,3DS,2011,Sega,0.26,0.15
4024,Tony Hawk's Project 8,X360,2006,Activision,0.44,0.02
4025,Tony Hawk's Underground 2,GBA,2004,Activision,0.35,0.13
4026,MotorStorm: Apocalypse,PS3,2011,Sony Computer Entertainment,0.21,0.2
4027,Ice Hockey,2600,1980,Activision,0.46,0.03
4028,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS3,2015,Square Enix,0,0
4029,Lego Batman 3: Beyond Gotham,PSV,2014,Warner Bros. Interactive Entertainment,0.09,0.29
4030,The Matrix: Path of Neo,PS2,2005,Atari,0.41,0.01
4031,Kane & Lynch 2: Dog Days,X360,2010,Square Enix,0.2,0.23
4032,Lollipop Chainsaw,X360,2012,Warner Bros. Interactive Entertainment,0.31,0.13
